USER_ID,Elapsed,Minute,Second,UserX,UserY,UserZ,SceneRadius,ObjX,ObjY,ObjZ,ObjRadius,VertexDelta,NgonDelta,TriDelta,NormalDelta,ObjMode,EditMode,UV,ObjectDelta,ModifierDelta,CtrlV,ShiftD,AltD,Merge
808fd42c,77.55,1,17.55,4.17,0.11,0.37,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,78.56,1,18.56,4.17,0.11,0.37,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,79.56,1,19.56,4.17,0.11,0.37,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,80.57,1,20.57,4.17,0.11,0.37,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,81.57,1,21.57,4.17,0.11,0.37,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,82.58,1,22.58,4.17,0.11,0.37,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,83.58,1,23.58,4.17,0.11,0.37,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,84.58,1,24.58,4.17,0.11,0.37,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,85.59,1,25.59,4.17,0.11,0.37,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0808fd42c,87.6,1,27.6,4.17,0.11,0.37,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,88.6,1,28.6,4.17,0.11,0.37,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,89.6,1,29.6,2.71,-0.1,3.2,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,90.6,1,30.6,-0.05,-4.2,0.65,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,91.61,1,31.61,1.61,-2.51,3.0,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,92.61,1,32.61,1.92,-2.36,2.93,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,93.61,1,33.61,1.92,-2.36,2.93,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,94.62,1,34.62,1.92,-2.36,2.93,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,95.62,1,35.62,1.92,-2.36,2.93,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,96.62,1,36.62,2.17,-2.63,3.31,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,97.62,1,37.62,2.17,-2.63,3.31,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,98.62,1,38.62,2.17,-2.63,3.31,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,99.62,1,39.62,2.48,-2.54,-3.15,6.24,0.0,0.0,0.0,1.45,1,0,0,1,1,0,1,0,0,0,0,0,0
808fd42c,100.63,1,40.63,3.93,-2.56,0.7,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,101.63,1,41.63,3.71,-2.11,2.06,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,102.63,1,42.63,3.77,-0.98,2.68,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,103.64,1,43.64,3.77,-0.98,2.68,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,104.64,1,44.64,3.77,-0.98,2.68,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,105.65,1,45.65,3.77,-0.98,2.68,4.32,0,0,0,0,-1,-1,0,-1,0,0,0,-1,0,0,0,0,0
808fd42c,106.65,1,46.65,3.77,-0.98,2.68,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,107.66,1,47.66,3.77,-0.98,2.68,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,108.66,1,48.66,3.77,-0.98,2.68,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
